,836.61,1815.05,3813.79,77.19,169.27,92.05
,354.30,4113.63,87.10,2506.52,1003.51,94.03
,939.71,1567.75,4596.67,4956.50,175.42,94.41
,890.74,4344.29,1597.51,83.23,722.85,62.88
,3804.28,4616.36,3411.43,102.50,515.01,50.68
,1215.15,2852.70,1594.42,32.26,744.73,71.76
,2557.13,212.12,2755.17,4811.88,3.73,75.91
,5279.07,134.58,2032.20,1.57,390.79,92.36
,1265.17,137.55,3516.97,213.39,823.96,102.05
,2585.99,1792.10,5413.54,2.61,1222.30,62.67
,4344.61,276.27,200.77,2227.60,157.93,65.03
,4500.35,1575.11,2.52,4736.28,1774.27,96.08
,1968.49,3199.75,2.44,1891.47,26.16,80.38
,6787.32,3035.68,1.17,1928.89,0.99,100.86
,301.06,4449.51,523.41,287.83,1.00,46.86
,140.94,4799.40,152.04,4595.51,241.89,40.48
,0.13,953.04,897.24,7071.78,224.02,77.51
,1213.89,5501.70,3222.58,1520.72,154.31,68.17
,235.09,2223.87,1178.29,2.73,218.53,93.11
,965.56,241.84,341.55,4722.83,1.69,67.25
,1625.71,4535.16,1098.33,2568.45,1403.45,71.29
,1630.82,216.24,2921.34,4105.51,7.21,81.62
,4891.34,196.69,3381.79,771.91,122.82,105.59
,6763.54,2058.96,1883.25,0.34,2.66,56.69
,65.49,417.91,5243.18,1876.46,261.17,83.37
,417.88,224.91,4747.59,3514.78,404.36,82.75
,10.46,2619.36,5214.50,3296.95,412.79,79.45
,200.47,381.69,1837.45,2556.68,650.01,110.65
,5469.39,1501.67,219.93,2646.28,1.74,66.65
,4199.66,3157.45,221.32,13.46,285.15,64.91
,272.19,1355.59,4563.04,187.25,656.54,85.27
,4001.22,1845.85,3835.45,44.97,79.90,72.11
,3154.88,3534.83,2107.58,2.10,492.58,93.95
,4914.33,1025.46,138.30,454.40,1017.61,81.44
,3292.64,5690.95,2666.26,131.77,133.75,76.39
,4782.35,957.93,1597.61,683.43,312.19,40.96
,5059.21,74.05,1731.65,3055.39,668.58,72.07
,576.92,858.55,1214.63,2081.01,450.67,67.22
,1477.04,82.06,2360.19,3788.78,215.93,91.78
,2808.58,1.88,1524.73,906.20,332.48,69.24
,1193.29,384.60,5684.56,3522.01,42.55,104.82
,5756.23,122.76,1645.44,78.96,852.51,73.82
,4448.27,42.04,5168.40,34.16,135.88,92.49
,4291.71,1728.83,2389.50,0.47,260.93,72.92
,5365.12,2064.67,2436.06,941.13,12.49,92.94
,5540.10,2824.95,32.16,329.10,0.17,86.11
,5505.00,476.26,934.79,2752.37,1.63,92.72
,1302.48,4044.38,1951.20,401.38,0.34,44.81
,5269.99,3.36,5016.90,117.97,0.13,90.72
,6755.30,46.94,609.98,465.23,0.13,68.93
,1702.37,0.13,4250.12,5426.83,1.01,44.36
,2836.61,0.17,2583.51,2147.73,687.11,58.69
,1749.02,0.29,4718.08,2652.98,108.17,53.78
,4007.22,0.21,3813.07,481.11,615.12,72.96
,574.14,100.86,1597.61,6272.20,2.46,64.89
