,1698.30,613.86,3766.01,1919.57,200.30,4167.88
,1791.81,2619.50,1098.59,6112.50,23.66,989.18
,4453.44,330.24,1411.56,3034.25,639.96,556.16
,7737.38,619.35,2240.22,685.52,340.94,1530.63
,5011.69,959.62,1957.08,3187.37,671.03,1091.71
,5405.17,3728.12,2326.04,2236.85,1906.75,1062.72
,1500.46,1109.49,383.68,6653.34,1496.84,881.21
,6559.02,1614.72,3530.57,3030.22,1731.71,381.70
,5888.19,3417.39,1167.42,3862.52,582.97,1820.91
,4344.61,2982.80,179.56,1108.99,13.49,1218.85
,3201.14,5357.20,429.18,794.94,744.92,4405.19
,491.10,5935.21,2679.54,2020.77,303.52,7090.07
,420.36,258.91,2855.71,4556.92,1118.73,3646.18
,643.65,2194.89,290.24,3774.11,2388.53,7783.40
,3758.56,3492.03,384.22,2050.83,1300.45,5761.36
,3407.26,325.68,2238.89,1058.43,1298.33,7253.99
,227.68,665.67,382.38,2811.96,1582.12,6038.13
,1410.87,2362.20,943.67,3401.79,2043.95,5282.31
,3118.69,2847.77,547.74,2640.57,1516.65,3815.67
,4699.26,1695.29,2601.70,3254.62,758.86,7103.99
,2365.68,673.47,4061.02,440.59,1274.46,4530.28
,241.56,588.77,2924.28,4808.10,1071.97,1234.41
,4899.30,1472.62,5055.66,2410.65,2250.63,2700.84
,2262.44,413.03,575.15,3260.49,1634.10,1197.98
,8629.17,429.89,973.48,3419.04,64.16,2276.01
,6940.93,1385.43,3536.09,4746.01,607.47,2841.42
,3506.93,795.77,8731.16,725.90,1747.78,4967.59
,506.70,499.24,6446.63,1006.24,411.10,7465.62
,1540.52,2580.23,4176.59,87.71,1962.80,6702.51
,2199.68,1842.25,1026.50,551.73,1710.75,4617.95
,3473.14,3203.82,2901.72,2288.36,2896.74,3802.94
,4259.36,271.04,3186.37,4585.27,2943.14,6023.49
,1486.41,1506.29,3569.16,340.92,601.56,6452.32
,2060.76,454.85,4777.99,727.53,321.88,5420.58
,820.94,2196.52,7690.70,2804.13,28.13,3681.31
,2041.29,1277.69,4966.95,2662.07,31.98,3185.52
,1009.69,1645.97,4272.32,264.30,28.94,6897.73
,1871.00,3058.92,6065.32,2535.07,28.33,5897.98
,1752.95,884.99,6973.99,2515.12,60.49,5986.67
,480.32,540.41,2617.73,4855.55,279.74,7101.47
,2550.69,2157.10,111.81,1850.75,2027.63,7338.27
,1337.69,1090.14,2003.46,7583.76,388.10,7840.27
,2389.11,544.74,2500.08,3721.12,570.20,3852.97
