2431.60,1958.10,1664.27,186.61,59.73,67.78
2353.83,7423.90,1174.91,2685.46,111.59,76.27
428.95,5335.14,0.26,1259.74,3528.61,48.97
471.06,1652.10,351.20,2346.35,2.57,92.09
1152.08,469.51,2495.74,1985.25,63.78,45.43
2370.34,226.46,4082.74,790.99,759.25,64.99
2550.84,2972.62,4552.48,187.47,1745.24,47.25
1468.96,112.28,1834.69,1893.86,13.27,11.97
2850.77,3341.45,2246.05,1486.74,0.13,67.79
2026.77,3781.85,2833.35,1.57,1.56,87.81
5602.35,1053.70,1495.29,585.89,0.17,64.44
377.61,498.89,3551.14,122.67,1.00,73.25
658.96,2545.72,1539.95,96.48,0.98,81.54
57.26,3408.47,1861.26,3451.13,461.61,82.16
0.13,1040.63,2300.55,2769.10,483.15,74.67
1066.13,1926.15,342.68,6453.73,47.99,59.20
844.14,5.26,41.60,4832.94,866.03,73.46
3712.06,12.68,0.13,555.43,238.69,82.10
4232.43,4376.76,174.04,127.57,2007.62,61.81
2022.36,1966.81,1806.42,2392.78,1379.20,85.69
2684.75,3082.78,1.57,3396.25,689.06,68.47
2716.81,97.00,1901.25,3505.47,504.71,77.53
4264.36,4706.55,304.89,842.81,227.41,58.56
4043.32,4288.39,256.80,3.01,113.31,67.87
3232.09,418.20,686.03,34.44,747.30,55.84
4569.78,506.97,654.77,1.16,275.83,71.14
5206.50,805.77,2621.52,0.24,422.75,44.86
2391.32,253.10,2038.95,1.06,1.65,107.84
4833.67,686.71,4281.07,0.17,607.94,80.04
6339.61,4601.91,2916.39,1127.28,878.71,85.56
2011.97,429.52,56.57,305.28,1074.16,60.35
610.15,809.90,0.26,5895.24,142.69,54.86
536.86,1973.55,619.65,4982.97,1631.12,85.73
619.61,51.58,1290.99,527.78,527.97,62.68
802.24,0.82,6464.04,1308.78,768.83,54.13
425.19,186.88,2169.28,3787.34,1314.37,88.40
1696.28,115.75,5181.59,1939.45,549.47,54.41
368.66,1.61,1464.94,1988.94,101.93,88.81
317.87,1257.92,4292.93,4820.45,302.36,80.42
1.72,2921.83,1097.10,1080.34,163.75,89.19
2415.03,1791.00,3688.28,505.98,1000.04,69.60
5837.23,1200.23,5706.75,757.72,527.71,75.36
3578.37,175.07,967.54,0.13,1568.89,83.04
1700.65,649.10,3.04,2706.92,493.83,60.09
2579.20,2.26,304.68,7237.46,688.16,69.65
4685.93,2125.90,18.58,3578.58,318.80,54.62
1319.48,330.10,1.05,3072.91,91.69,51.00
551.98,1050.36,816.99,2318.35,218.34,66.67
57.71,3501.50,1190.02,3205.09,563.13,60.28
4735.65,3893.67,1196.19,2330.95,1005.75,77.46
1276.96,1695.69,1237.08,374.91,2.44,32.61
7077.27,4160.68,3707.27,125.87,581.99,49.01
2654.64,485.23,90.64,699.35,230.06,69.77
3447.56,1309.19,730.18,2998.68,165.87,71.26
1986.16,242.64,633.49,5661.60,1.63,37.77
1603.74,2.44,1656.70,2059.19,460.97,95.06
258.10,0.99,959.86,6081.00,1070.55,77.38
277.69,60.03,1569.24,2824.85,9.02,54.31
663.03,0.13,4824.42,3087.63,676.99,59.76
1581.21,0.13,1079.89,5197.71,21.45,70.90
3016.72,0.26,20.36,6644.83,0.94,70.21
847.24,0.17,0.43,4633.30,5.81,68.35
3505.46,1.57,2168.00,1290.87,0.17,69.79
2205.94,0.81,2828.97,292.86,264.42,62.28
2563.29,0.80,3638.84,278.66,1655.72,33.22
3874.25,1.05,5698.70,112.54,231.44,58.63
1280.49,1.01,5357.28,2.58,430.76,40.43
4437.76,4735.44,1597.62,903.59,176.88,54.50
2231.14,630.23,4868.73,1.61,2.44,103.37
3740.92,196.28,1240.93,1696.67,191.74,72.54
1463.75,4484.25,4078.22,44.97,5.44,69.86
885.00,568.10,2632.33,0.17,0.27,41.06
4645.50,238.21,3275.44,3740.25,136.11,77.46
4864.84,242.79,631.60,678.90,575.61,68.73
2413.27,151.30,2911.58,1032.45,624.73,71.23
2473.98,1530.82,232.67,5215.98,5.97,86.43
4842.03,690.49,2727.11,87.31,1.12,82.01
2389.57,1901.41,467.07,191.38,1952.55,59.24
6318.34,182.54,3225.84,455.03,155.81,32.90
5481.47,315.72,1433.77,1265.25,113.84,51.91
657.64,3838.47,141.90,344.24,408.83,54.78
1649.76,4638.62,122.98,1084.97,295.03,5.57
4840.54,639.29,2951.81,48.34,3.07,17.45
2678.58,933.83,5614.36,0.82,587.98,1.33
4943.82,2.46,74.02,1363.52,729.87,1.08
204.98,1799.87,5071.30,1137.21,5007.20,2.18
2336.41,670.45,112.68,1792.26,1.33,1.08
6.04,1392.33,1.63,6052.56,2.19,1.78
5148.42,811.45,2035.77,4804.81,1.60,1.63
1037.47,17.78,3067.38,2128.13,0.26,3.58
1680.24,0.13,4958.33,208.55,0.13,1.07
0.13,1073.00,946.32,3069.21,2.02,1.08
1.49,7042.79,1.72,4419.57,0.13,6.09
0.13,566.20,1.00,5.85,0.17,1.30
1.17,0.99,0.80,1.40,0.17,1.08
1.51,1.12,1.06,0.25,1.21,1.78
0.60,0.17,0.25,1.41,1.10,1.08
0.13,0.57,0.17,0.67,1.03,2.12
0.26,0.13,1.84,0.00,0.82,1.53
0.98,0.26,0.13,0.13,0.30,3.62
0.63,0.17,0.26,0.26,0.13,1.07
0.17,1.87,0.13,0.13,0.85,1.08
1.46,0.85,1.70,1.67,0.13,1.07
0.13,0.83,0.85,1.97,0.17,1.30
